Running 20m test @ http://10.105.166.53:8080/wrk2-api/home-timeline/read
  16 threads and 32 connections
  Thread calibration: mean lat.: 1083.136ms, rate sampling interval: 3489ms
  Thread calibration: mean lat.: 206.608ms, rate sampling interval: 886ms
  Thread calibration: mean lat.: 264.888ms, rate sampling interval: 1253ms
  Thread calibration: mean lat.: 174.171ms, rate sampling interval: 1072ms
  Thread calibration: mean lat.: 264.652ms, rate sampling interval: 1451ms
  Thread calibration: mean lat.: 609.286ms, rate sampling interval: 3348ms
  Thread calibration: mean lat.: 103.870ms, rate sampling interval: 446ms
  Thread calibration: mean lat.: 372.377ms, rate sampling interval: 1682ms
  Thread calibration: mean lat.: 238.294ms, rate sampling interval: 1085ms
  Thread calibration: mean lat.: 367.773ms, rate sampling interval: 1717ms
  Thread calibration: mean lat.: 211.085ms, rate sampling interval: 994ms
  Thread calibration: mean lat.: 249.124ms, rate sampling interval: 1179ms
  Thread calibration: mean lat.: 752.338ms, rate sampling interval: 4235ms
  Thread calibration: mean lat.: 105.420ms, rate sampling interval: 550ms
  Thread calibration: mean lat.: 970.841ms, rate sampling interval: 3239ms
  Thread calibration: mean lat.: 1039.171ms, rate sampling interval: 5804ms
  Thread Stats   Avg      Stdev     99%   +/- Stdev
    Latency    38.34ms   90.86ms 346.37ms   96.58%
    Req/Sec    36.63      6.70    54.00     80.60%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   20.40ms
 75.000%   34.56ms
 90.000%   62.11ms
 99.000%  346.37ms
 99.900%    1.36s 
 99.990%    2.03s 
 99.999%    2.76s 
100.000%    2.89s 

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       2.343     0.000000            1         1.00
      10.575     0.100000        70623         1.11
      12.543     0.200000       141078         1.25
      14.711     0.300000       211782         1.43
      17.231     0.400000       282188         1.67
      20.399     0.500000       352729         2.00
      22.335     0.550000       388049         2.22
      24.575     0.600000       423411         2.50
      27.231     0.650000       458590         2.86
      30.463     0.700000       493809         3.33
      34.559     0.750000       529026         4.00
      37.087     0.775000       546756         4.44
      40.063     0.800000       564341         5.00
      43.711     0.825000       581965         5.71
      48.191     0.850000       599492         6.67
      54.079     0.875000       617172         8.00
      57.727     0.887500       625949         8.89
      62.111     0.900000       634795        10.00
      67.583     0.912500       643601        11.43
      74.559     0.925000       652405        13.33
      84.223     0.937500       661207        16.00
      90.495     0.943750       665630        17.78
      98.175     0.950000       670043        20.00
     107.967     0.956250       674438        22.86
     120.575     0.962500       678845        26.67
     138.751     0.968750       683250        32.00
     150.911     0.971875       685462        35.56
     165.887     0.975000       687665        40.00
     185.343     0.978125       689867        45.71
     209.919     0.981250       692070        53.33
     240.511     0.984375       694272        64.00
     260.223     0.985938       695371        71.11
     285.439     0.987500       696474        80.00
     320.255     0.989062       697573        91.43
     365.823     0.990625       698675       106.67
     427.775     0.992188       699779       128.00
     466.431     0.992969       700326       142.22
     513.535     0.993750       700878       160.00
     568.831     0.994531       701427       182.86
     657.407     0.995313       701982       213.33
     767.487     0.996094       702530       256.00
     828.415     0.996484       702806       284.44
     893.439     0.996875       703082       320.00
     966.655     0.997266       703356       365.71
    1036.287     0.997656       703634       426.67
    1117.183     0.998047       703907       512.00
    1148.927     0.998242       704046       568.89
    1191.935     0.998437       704184       640.00
    1243.135     0.998633       704323       731.43
    1306.623     0.998828       704458       853.33
    1370.111     0.999023       704597      1024.00
    1397.759     0.999121       704666      1137.78
    1424.383     0.999219       704734      1280.00
    1458.175     0.999316       704803      1462.86
    1511.423     0.999414       704871      1706.67
    1583.103     0.999512       704940      2048.00
    1615.871     0.999561       704976      2275.56
    1665.023     0.999609       705009      2560.00
    1719.295     0.999658       705043      2925.71
    1774.591     0.999707       705078      3413.33
    1822.719     0.999756       705115      4096.00
    1842.175     0.999780       705131      4551.11
    1862.655     0.999805       705148      5120.00
    1881.087     0.999829       705164      5851.43
    1916.927     0.999854       705181      6826.67
    1978.367     0.999878       705198      8192.00
    1999.871     0.999890       705207      9102.22
    2046.975     0.999902       705216     10240.00
    2125.823     0.999915       705224     11702.86
    2162.687     0.999927       705233     13653.33
    2217.983     0.999939       705241     16384.00
    2267.135     0.999945       705246     18204.44
    2312.191     0.999951       705250     20480.00
    2392.063     0.999957       705254     23405.71
    2453.503     0.999963       705259     27306.67
