Running 20m test @ http://10.104.124.40:8080/wrk2-api/post/compose
  16 threads and 32 connections
  Thread calibration: mean lat.: 29.502ms, rate sampling interval: 103ms
  Thread calibration: mean lat.: 41.741ms, rate sampling interval: 137ms
  Thread calibration: mean lat.: 30.850ms, rate sampling interval: 100ms
  Thread calibration: mean lat.: 25.397ms, rate sampling interval: 89ms
  Thread calibration: mean lat.: 49.113ms, rate sampling interval: 181ms
  Thread calibration: mean lat.: 53.373ms, rate sampling interval: 184ms
  Thread calibration: mean lat.: 44.511ms, rate sampling interval: 141ms
  Thread calibration: mean lat.: 29.971ms, rate sampling interval: 120ms
  Thread calibration: mean lat.: 50.028ms, rate sampling interval: 179ms
  Thread calibration: mean lat.: 39.944ms, rate sampling interval: 135ms
  Thread calibration: mean lat.: 24.802ms, rate sampling interval: 84ms
  Thread calibration: mean lat.: 33.182ms, rate sampling interval: 118ms
  Thread calibration: mean lat.: 44.888ms, rate sampling interval: 173ms
  Thread calibration: mean lat.: 31.387ms, rate sampling interval: 107ms
  Thread calibration: mean lat.: 55.046ms, rate sampling interval: 166ms
  Thread calibration: mean lat.: 44.600ms, rate sampling interval: 167ms
  Thread Stats   Avg      Stdev     99%   +/- Stdev
    Latency    27.18ms   20.38ms 104.06ms   90.04%
    Req/Sec     5.81      6.90    28.00     87.17%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   20.29ms
 75.000%   30.08ms
 90.000%   47.49ms
 99.000%  104.06ms
 99.900%  230.91ms
 99.990%  324.61ms
 99.999%  594.94ms
100.000%    1.04s 

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.593     0.000000            1         1.00
      14.583     0.100000        11466         1.11
      15.695     0.200000        22935         1.25
      16.895     0.300000        34369         1.43
      18.351     0.400000        45864         1.67
      20.287     0.500000        57274         2.00
      21.519     0.550000        62997         2.22
      23.039     0.600000        68665         2.50
      24.911     0.650000        74389         2.86
      27.167     0.700000        80120         3.33
      30.079     0.750000        85842         4.00
      31.871     0.775000        88698         4.44
      33.983     0.800000        91573         5.00
      36.383     0.825000        94405         5.71
      39.391     0.850000        97275         6.67
      43.071     0.875000       100134         8.00
      45.151     0.887500       101569         8.89
      47.487     0.900000       102985        10.00
      50.399     0.912500       104419        11.43
      53.695     0.925000       105847        13.33
      57.759     0.937500       107278        16.00
      59.903     0.943750       107995        17.78
      62.559     0.950000       108707        20.00
      65.663     0.956250       109433        22.86
      69.311     0.962500       110137        26.67
      73.599     0.968750       110856        32.00
      75.967     0.971875       111212        35.56
      78.783     0.975000       111572        40.00
      81.983     0.978125       111923        45.71
      85.823     0.981250       112281        53.33
      91.007     0.984375       112643        64.00
      93.823     0.985938       112820        71.11
      97.151     0.987500       112996        80.00
     101.567     0.989062       113176        91.43
     105.855     0.990625       113356       106.67
     112.831     0.992188       113533       128.00
     117.247     0.992969       113623       142.22
     121.919     0.993750       113713       160.00
     127.167     0.994531       113801       182.86
     133.887     0.995313       113892       213.33
     142.463     0.996094       113980       256.00
     148.223     0.996484       114027       284.44
     154.879     0.996875       114069       320.00
     167.039     0.997266       114114       365.71
     180.991     0.997656       114158       426.67
     198.143     0.998047       114203       512.00
     213.887     0.998242       114226       568.89
     220.287     0.998437       114248       640.00
     223.359     0.998633       114271       731.43
     226.303     0.998828       114292       853.33
     231.039     0.999023       114315      1024.00
     233.343     0.999121       114326      1137.78
     235.903     0.999219       114337      1280.00
     238.079     0.999316       114348      1462.86
     242.175     0.999414       114359      1706.67
     246.783     0.999512       114371      2048.00
     250.367     0.999561       114376      2275.56
     254.847     0.999609       114382      2560.00
     259.199     0.999658       114387      2925.71
     264.191     0.999707       114393      3413.33
     272.895     0.999756       114399      4096.00
     275.199     0.999780       114401      4551.11
     284.415     0.999805       114404      5120.00
     296.703     0.999829       114407      5851.43
     299.519     0.999854       114410      6826.67
     310.271     0.999878       114413      8192.00
     314.111     0.999890       114414      9102.22
     324.607     0.999902       114415     10240.00
     330.495     0.999915       114417     11702.86
     338.687     0.999927       114418     13653.33
     363.519     0.999939       114420     16384.00
     363.519     0.999945       114420     18204.44
     368.895     0.999951       114421     20480.00
     377.855     0.999957       114422     23405.71
     377.855     0.999963       114422     27306.67
     384.767     0.999969       114423     32768.00
     384.767     0.999973       114423     36408.89
     510.975     0.999976       114424     40960.00
     510.975     0.999979       114424     46811.43
     510.975     0.999982       114424     54613.33
     594.943     0.999985       114425     65536.00
     594.943     0.999986       114425     72817.78
     594.943     0.999988       114425     81920.00
     594.943     0.999989       114425     93622.86
     594.943     0.999991       114425    109226.67
    1037.823     0.999992       114426    131072.00
    1037.823     1.000000       114426          inf
#[Mean    =       27.177, StdDeviation   =       20.379]
#[Max     =     1037.312, Total count    =       114426]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  115423 requests in 20.00m, 23.67MB read
  Socket errors: connect 0, read 0, write 0, timeout 49
Requests/sec:     96.18
Transfer/sec:     20.19KB
